raw_table_name,raw_column_name,target_column_name,target_data_type,target_order_num
CANDIDATES,_OFFSET,_OFFSET,BIGINT,1
CANDIDATES,CANDIDATE_ID,ID,VARCHAR(100),2
CANDIDATES,PRIMARY_SKILL_ID,PRIMARY_SKILL_ID,VARCHAR(50),3
CANDIDATES,STAFFING_STATUS,STAFFING_STATUS,VARCHAR(50),4
CANDIDATES,ENGLISH_LEVEL,ENGLISH_LEVEL,VARCHAR(50),5
CANDIDATES,JOB_FUNCTION_ID,JOB_FUNCTION_ID,VARCHAR(50),6
CANDIDATES,_CREATED_MICROS,CREATED_AT,TIMESTAMP,7
CANDIDATES,_UPDATED_MICROS,UPDATED_AT,TIMESTAMP,8
EMPLOYEES,_OFFSET,_OFFSET,BIGINT,1
EMPLOYEES,EMPLOYEE_ID,ID,VARCHAR(100),2
EMPLOYEES,JOB_FUNCTION_ID,JOB_FUNCTION_ID,VARCHAR(50),3
EMPLOYEES,PRODUCTION_CATEGORY,PRODUCTION_CATEGORY,VARCHAR(50),4
EMPLOYEES,EMPLOYMENT_STATUS,EMPLOYMENT_STATUS,VARCHAR(50),5
EMPLOYEES,ORG_CATEGORY,ORG_CATEGORY,VARCHAR(50),6
EMPLOYEES,ORG_CATEGORY_TYPE,ORG_CATEGORY_TYPE,VARCHAR(50),7
EMPLOYEES,WORK_START_MICROS,WORK_START_DATE,DATE,8
EMPLOYEES,WORK_END_MICROS,WORK_END_DATE,DATE,9
EMPLOYEES,IS_ACTIVE,IS_ACTIVE,BOOLEAN,10
EMPLOYEES,_CREATED_MICROS,CREATED_AT,TIMESTAMP,11
EMPLOYEES,_UPDATED_MICROS,UPDATED_AT,TIMESTAMP,12
INTERVIEWS,ID,ID,VARCHAR(100),1
INTERVIEWS,CANDIDATE_TYPE,CANDIDATE_TYPE,VARCHAR(50),2
INTERVIEWS,CANDIDATE_ID,CANDIDATE_ID,VARCHAR(100),3
INTERVIEWS,STATUS,STATUS,VARCHAR(50),4
INTERVIEWS,INTERVIEWER_ID,INTERVIEWER_ID,VARCHAR(100),5
INTERVIEWS,LOCATION,LOCATION,VARCHAR(50),6
INTERVIEWS,LOGGED,IS_LOGGED,BOOLEAN,7
INTERVIEWS,MEDIA_AVAILABLE,IS_MEDIA_AVAILABLE,BOOLEAN,8
INTERVIEWS,RUN_TYPE,RUN_TYPE,VARCHAR(50),9
INTERVIEWS,TYPE,TYPE,VARCHAR(50),10
INTERVIEWS,MEDIA_STATUS,MEDIA_STATUS,VARCHAR(50),11
INTERVIEWS,INVITE_ANSWER_STATUS,INVITE_ANSWER_STATUS,VARCHAR(50),12
INTERVIEWS,_CREATED_MICROS,CREATED_AT,TIMESTAMP,13
INTERVIEWS,_UPDATED_MICROS,UPDATED_AT,TIMESTAMP,14
JOB_FUNCTIONS,JOB_FUNCTION_ID,ID,VARCHAR(50),1
JOB_FUNCTIONS,BASE_NAME,BASE_NAME,VARCHAR(50),2
JOB_FUNCTIONS,CATEGORY,CATEGORY,VARCHAR(50),3
JOB_FUNCTIONS,IS_ACTIVE,IS_ACTIVE,BOOLEAN,4
JOB_FUNCTIONS,LEVEL,LEVEL,INTEGER,5
JOB_FUNCTIONS,TRACK,TRACK,VARCHAR(1),6
JOB_FUNCTIONS,SENIORITY_LEVEL,SENIORITY_LEVEL,VARCHAR(2),7
JOB_FUNCTIONS,SENIORITY_INDEX,SENIORITY_INDEX,INTEGER,8
JOB_FUNCTIONS,_CREATED_MICROS,CREATED_AT,TIMESTAMP,9
JOB_FUNCTIONS,_UPDATED_MICROS,UPDATED_AT,TIMESTAMP,10
SKILLS,ID,ID,VARCHAR(50),1
SKILLS,IS_ACTIVE,IS_ACTIVE,BOOLEAN,2
SKILLS,TYPE,TYPE,VARCHAR(50),3
SKILLS,NAME,NAME,VARCHAR(200),4
SKILLS,URL,URL,VARCHAR(50),5
SKILLS,PARENT_ID,PARENT_ID,VARCHAR(50),6
SKILLS,_CREATED_MICROS,CREATED_AT,TIMESTAMP,7
SKILLS,_UPDATED_MICROS,UPDATED_AT,TIMESTAMP,8